epoch,n, train_loss, valid_loss
42,0, 800.3165112305, 582.6250366211,
42,1, 811.5107104492, 616.3546679688,
42,2, 739.1553271484, 532.5819677734,
42,3, 786.7380798340, 753.0090844727,
42,4, 693.2710791016, 472.5632434082,
43,0, 711.9833679199, 1061.6777563477,
43,1, 680.4496838379, 2111.9889306641,
43,2, 1032.7565795898, 545.8704760742,
43,3, 723.4842468262, 464.7770520020,
43,4, 773.8507055664, 590.0919165039,
44,0, 579.1586926270, 325.6245275879,
44,1, 851.8712255859, 1524.4698828125,
44,2, 784.0838671875, 365.6109252930,
44,3, 858.9699902344, 461.6489965820,
44,4, 670.4211474609, 343.3971057129,
45,0, 640.9393847656, 1086.2029516602,
45,1, 775.9798730469, 287.2638146973,
45,2, 597.6710192871, 264.3629998779,
45,3, 750.5737060547, 685.2334045410,
45,4, 810.2821484375, 2980.7392187500,
46,0, 708.4009936523, 976.1110522461,
46,1, 745.3843774414, 3170.2448925781,
46,2, 798.7891406250, 1927.9924169922,
46,3, 749.1343200684, 1637.8128906250,
46,4, 768.6922302246, 319.4380200195,
47,0, 638.5966357422, 652.8481188965,
47,1, 781.7788366699, 434.6853857422,
47,2, 954.3644250488, 1479.7471899414,
47,3, 645.8462945557, 1596.1762158203,
47,4, 531.3642974854, 283.8893750000,
48,0, 617.7572326660, 272.2425848389,
48,1, 633.1723730469, 1243.0035253906,
48,2, 796.4382952881, 508.5665380859,
48,3, 643.5014782715, 403.4132159424,
48,4, 547.0167285156, 588.8219262695,
49,0, 651.9263049316, 864.9309912109,
49,1, 671.8690136719, 606.1308679199,
49,2, 694.9176342773, 370.7956384277,
49,3, 595.4097753906, 328.9786798096,
49,4, 576.8647827148, 463.1024914551,
50,0, 459.2794226074, 191.1135266113,
50,1, 577.7973742676, 1908.7760253906,
50,2, 637.8358331299, 310.3156933594,
50,3, 509.2250378418, 1024.9190966797,
50,4, 520.1173004150, 476.6660314941,
51,0, 550.8954071045, 295.3432482910,
51,1, 469.1147216797, 483.7934448242,
51,2, 506.7206854248, 806.5425927734,
51,3, 722.3811718750, 1240.8174291992,
51,4, 597.1898034668, 449.5547497559,
52,0, 594.4764056396, 484.9896447754,
52,1, 540.7157946777, 383.3553735352,
52,2, 545.7935351562, 757.6600073242,
52,3, 633.6376477051, 544.4006262207,
52,4, 484.3304479980, 308.3221997070,
53,0, 668.5609484863, 166.7596859741,
53,1, 700.0307360840, 956.8419213867,
53,2, 549.0637561035, 436.4845739746,
53,3, 591.6566308594, 471.0229235840,
53,4, 563.9393383789, 792.8766674805,
54,0, 502.6020129395, 414.3211083984,
54,1, 496.5440753174, 537.2064233398,
54,2, 441.9614233398, 530.5343078613,
54,3, 495.4638470459, 218.0081829834,
54,4, 608.3178906250, 360.1802478027,
55,0, 498.6197833252, 681.6815380859,
55,1, 473.2702014160, 420.9553967285,
55,2, 541.1156518555, 544.3709313965,
55,3, 705.4864819336, 309.2620697021,
55,4, 502.4869378662, 567.3216003418,
56,0, 627.5221746826, 324.0531292725,
56,1, 680.3410052490, 504.9432141113,
56,2, 657.6281689453, 1067.5261230469,
56,3, 455.4200976562, 187.7219641113,
56,4, 484.4792059326, 237.0384002686,
57,0, 675.1275341797, 1048.0435034180,
57,1, 498.6263793945, 504.0816516113,
57,2, 408.0180395508, 225.1643011475,
57,3, 497.1609674072, 275.2434094238,
57,4, 369.3216278076, 851.6651928711,
58,0, 487.0486157227, 1259.1516479492,
58,1, 484.5259460449, 1090.5430371094,
58,2, 615.6635705566, 1577.9540478516,
58,3, 568.9518835449, 1171.2749633789,
58,4, 424.5267327881, 370.4636132812,
59,0, 516.4175695801, 460.9918872070,
59,1, 763.6820104980, 852.7874169922,
59,2, 573.1875073242, 1123.1379223633,
59,3, 490.2127050781, 262.2118914795,
59,4, 505.0243035889, 248.2919091797,
60,0, 411.5483905029, 1743.3269091797,
60,1, 443.1878778076, 195.8298138428,
60,2, 549.5518176270, 396.9849652100,
60,3, 466.0473004150, 386.9132690430,
60,4, 563.8526794434, 746.1317407227,
61,0, 559.7068988037, 1272.6271459961,
61,1, 679.3838708496, 2046.0784277344,
61,2, 483.5293121338, 1092.5647729492,
61,3, 472.2152844238, 206.5499511719,
61,4, 493.6491760254, 316.7892578125,
62,0, 488.0903918457, 177.2338055420,
62,1, 377.3203631592, 177.0115838623,
62,2, 352.9335705566, 290.6001873779,
62,3, 356.3226525879, 300.7026019287,
62,4, 362.9586895752, 1122.2728222656,
63,0, 337.9848297119, 133.9719219971,
