76	851.426	395	935.338	780	960.494	1600	1139.35
54	113.632	84	151.307	744	141.507	1600	331.999
71	465.868	593	559.707	1156	604.038	1700	653.056
86	385.941	343	448.692	708	465.071	1400	504.942
73	677.271	429	746.389	1007	798.195	1700	870.372
57	374.586	450	415.894	791	440.503	1300	476.186
72	304.021	570	334.833	1045	339.648	1700	304.232
63	537.843	177	634.891	674	500.505	1300	982.941
90	476.904	458	554.117	812	570.994	1600	628.882
94	246.506	421	267.884	787	279.257	1600	342.917
65	224.894	455	271.071	841	287.668	1300	324.872
76	766.57	182	800.788	703	658.851	1500	1367.78
69	327.842	478	397.591	897	421.573	1500	468.159
55	376.753	332	419.056	673	426.437	1000	393.55
76	553.714	509	676.69	998	705.112	1500	856.993
104	284.691	421	346.481	807	357.314	1700	395.547
93	195.951	352	212.482	660	216.964	1600	386.281
59	484.905	592	559.961	1099	605.355	1600	660.081
59	168.324	168	207.682	419	201.025	1500	417.222
81	312.256	221	334.37	693	231.177	1700	618.176
70	361.094	338	395.522	631	409.241	1300	443.359
47	237.429	319	289.826	659	305.501	1100	329.157
66	290.258	226	327.845	619	347.406	1300	380.507
52	226.422	289	246.881	707	264.391	1200	290.215
72	590.487	617	716.86	1158	772.229	1700	846.928
65	350.551	144	409.232	560	348.679	1500	997.095
92	333.199	304	352.667	639	358.775	1700	311.44
74	347.167	347	376.459	794	356.121	1500	693.788
103	314.984	361	335.199	750	347.328	1700	379.026
73	190.345	252	204.762	623	213.148	1500	236.102
72	355.032	241	380.591	683	332.599	1500	863.219
65	353.539	366	389.601	762	416.068	1400	451.32
55	520.174	202	549.242	716	585.199	1300	632.304
54	570.871	390	650.49	968	617.535	1600	1058.28
84	383.704	446	416.262	804	432.321	1600	414.591
60	149.361	150	182.201	359	167.273	1300	512.391
83	458.063	457	543.106	864	565.298	1700	617.227
84	410.661	359	452.076	738	470.286	1600	515.154
80	480.062	423	523.727	810	532.985	1500	638.402
57	206.489	241	239.07	490	238.753	1000	407.573
50	284.958	308	329.159	634	339.965	1100	367.58
85	270.447	349	287.9	662	298.866	1600	249.76
100	365.509	403	390.134	785	411.282	1700	356.897
62	860.313	195	924.813	807	838.225	1600	1593.5
77	180.188	327	213.069	623	214.854	1500	251.551
67	422.273	385	524.95	884	494.468	1400	772.53
68	694.838	358	751.101	1037	820.364	1700	867.783
87	352.018	475	438.474	911	460.792	1700	519.216
79	383.943	250	408.026	570	412.102	1500	461.646
66	163.772	169	194.224	462	169.054	1500	509.558
