epoch,n, train_loss, valid_loss
30,4, 1082.9813598633, 3523.5545507812,
31,0, 1200.2882727051, 1178.6197607422,
31,1, 1014.7143798828, 1936.5665917969,
31,2, 1151.0406164551, 2395.3528759766,
31,3, 897.6459448242, 1110.6048901367,
31,4, 835.6489855957, 2248.7209863281,
32,0, 888.2567553711, 1135.0355004883,
32,1, 798.9981237793, 1119.8913940430,
32,2, 947.4384716797, 3319.6970996094,
32,3, 779.9164062500, 1099.3580346680,
32,4, 827.0527502441, 828.8494934082,
33,0, 971.5128088379, 2041.2464501953,
33,1, 918.6469482422, 1005.0025122070,
33,2, 1046.7261279297, 3725.9350000000,
33,3, 815.4050354004, 898.7914501953,
33,4, 669.7484521484, 709.6664514160,
34,0, 704.7423083496, 1062.3393041992,
34,1, 759.2341192627, 2377.6584765625,
34,2, 1011.8870288086, 1380.4847412109,
34,3, 836.5343347168, 991.9225830078,
34,4, 1238.5206420898, 1054.4703564453,
35,0, 765.8668127441, 939.4152075195,
35,1, 829.2823986816, 1313.9432568359,
35,2, 808.4498181152, 987.9831567383,
35,3, 727.3729479980, 997.7887255859,
35,4, 801.4251220703, 527.9874743652,
36,0, 841.6096044922, 809.0716040039,
36,1, 636.5061560059, 1124.4596557617,
36,2, 739.7184729004, 1287.3955908203,
36,3, 801.1856506348, 2246.3546777344,
36,4, 726.1699218750, 1845.5070751953,
37,0, 689.6328906250, 1833.7727099609,
37,1, 995.1471667480, 1850.7219921875,
37,2, 739.6557067871, 616.1758764648,
37,3, 581.6227319336, 388.3612902832,
37,4, 655.4784033203, 379.7344726562,
38,0, 734.7765356445, 1715.6695654297,
38,1, 716.2213293457, 885.4956958008,
38,2, 841.9914892578, 650.1048693848,
38,3, 666.9705615234, 1377.1151660156,
38,4, 552.9085083008, 664.5803308105,
39,0, 605.4217065430, 427.7542425537,
39,1, 755.5328552246, 3065.5205078125,
39,2, 671.7653491211, 2146.7325830078,
39,3, 558.4835644531, 426.0998425293,
39,4, 645.9291033936, 417.8528295898,
40,0, 826.2423034668, 2292.8367285156,
40,1, 723.9967834473, 3525.8919140625,
40,2, 945.7288964844, 1394.1558764648,
40,3, 849.7769506836, 1659.6859863281,
40,4, 800.8040197754, 1277.0397949219,
41,0, 871.3077648926, 998.3587988281,
41,1, 656.5693969727, 861.8963671875,
41,2, 880.1206335449, 671.2734448242,
41,3, 718.1238012695, 3164.6806054687,
41,4, 799.9173461914, 424.0669653320,
42,0, 684.5694543457, 1362.0333227539,
42,1, 999.5944079590, 2102.3287011719,
42,2, 727.3937646484, 463.7144274902,
42,3, 582.6939495850, 1318.9728686523,
42,4, 870.4954907227, 1296.7563623047,
43,0, 862.2996667480, 2830.2448828125,
43,1, 816.2150268555, 783.1630444336,
43,2, 531.2956689453, 522.5691394043,
43,3, 643.7079742432, 296.6011840820,
43,4, 692.3834197998, 742.2897729492,
44,0, 623.2810266113, 270.9320312500,
44,1, 556.5150390625, 472.0521118164,
44,2, 650.9928076172, 1764.1537402344,
44,3, 593.2385156250, 1279.8110058594,
44,4, 542.1534631348, 2831.3241503906,
45,0, 797.3530249023, 789.8143798828,
45,1, 782.7108520508, 885.2347412109,
45,2, 589.2474182129, 1131.7055029297,
45,3, 638.4747314453, 341.0577124023,
45,4, 513.0318426514, 304.9192883301,
46,0, 597.5940454102, 385.6323315430,
